code,description
O883,"Pyemic and septic embolism in pregnancy, first trimester"
O888,"Other embolism in pregnancy, first trimester"
O890,Aspiration pneumonitis due to anesthesia during the puerperium
O891,Cardiac complications of anesthesia during the puerperium
O892,Central nervous system complications of anesthesia during the puerperium
O893,Toxic reaction to local anesthesia during the puerperium
O894,Spinal and epidural anesthesia-induced headache during the puerperium
O895,Other complications of spinal and epidural anesthesia during the puerperium
O896,Failed or difficult intubation for anesthesia during the puerperium
O898,Other complications of anesthesia during the puerperium
O899,"Complication of anesthesia during the puerperium, unspecified"
O900,Disruption of cesarean delivery wound
O901,Disruption of perineal obstetric wound
O902,Hematoma of obstetric wound
O903,Peripartum cardiomyopathy
O904,Postpartum acute kidney failure
O905,Postpartum thyroiditis
O906,Postpartum mood disturbance
O908,Anemia of the puerperium
O909,"Complication of the puerperium, unspecified"
O910,"Infection of nipple associated with pregnancy, first trimester"
O911,"Abscess of breast associated with pregnancy, first trimester"
O912,"Nonpurulent mastitis associated with pregnancy, first trimester"
O920,"Retracted nipple associated with pregnancy, first trimester"
O921,"Cracked nipple associated with pregnancy, first trimester"
O922,Unspecified disorder of breast associated with pregnancy and the puerperium
O923,Agalactia
O924,Hypogalactia
O925,Suppressed lactation
O926,Galactorrhea
O927,Unspecified disorders of lactation
O94,"Sequelae of complication of pregnancy, childbirth, and the puerperium"
O980,"Tuberculosis complicating pregnancy, first trimester"
O981,"Syphilis complicating pregnancy, first trimester"
O982,"Gonorrhea complicating pregnancy, first trimester"
O983,"Other infections with a predominantly sexual mode of transmission complicating pregnancy, first trimester"
O984,"Viral hepatitis complicating pregnancy, first trimester"
O985,"Other viral diseases complicating pregnancy, first trimester"
O986,"Protozoal diseases complicating pregnancy, first trimester"
O987,"Human immunodeficiency virus [HIV] disease complicating pregnancy, first trimester"
O988,"Other maternal infectious and parasitic diseases complicating pregnancy, first trimester"
O989,"Unspecified maternal infectious and parasitic disease complicating pregnancy, first trimester"
O990,"Anemia complicating pregnancy, first trimester"
O991,"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, first trimester"
O992,"Obesity complicating pregnancy, unspecified trimester"
O993,"Alcohol use complicating pregnancy, unspecified trimester"
O994,"Diseases of the circulatory system complicating pregnancy, first trimester"
O995,"Diseases of the respiratory system complicating pregnancy, first trimester"
O996,"Diseases of the digestive system complicating pregnancy, first trimester"
O997,"Diseases of the skin and subcutaneous tissue complicating pregnancy, first trimester"
O998,Abnormal glucose complicating pregnancy
O9A1,"Malignant neoplasm complicating pregnancy, first trimester"
O9A2,"Injury, poisoning and certain other consequences of external causes complicating pregnancy, first trimester"
O9A3,"Physical abuse complicating pregnancy, first trimester"
O9A4,"Sexual abuse complicating pregnancy, first trimester"
O9A5,"Psychological abuse complicating pregnancy, first trimester"
P000,Newborn affected by maternal hypertensive disorders
P001,Newborn affected by maternal renal and urinary tract diseases
P002,Newborn affected by maternal infectious and parasitic diseases
P003,Newborn affected by other maternal circulatory and respiratory diseases
P004,Newborn affected by maternal nutritional disorders
P005,Newborn affected by maternal injury
P006,Newborn affected by surgical procedure on mother
P007,"Newborn affected by other medical procedures on mother, not elsewhere classified"
P008,Newborn affected by periodontal disease in mother
P009,Newborn affected by unspecified maternal condition
P010,Newborn affected by incompetent cervix
P011,Newborn affected by premature rupture of membranes
P012,Newborn affected by oligohydramnios
P013,Newborn affected by polyhydramnios
P014,Newborn affected by ectopic pregnancy
P015,Newborn affected by multiple pregnancy
P016,Newborn affected by maternal death
P017,Newborn affected by malpresentation before labor
P018,Newborn affected by other maternal complications of pregnancy
P019,"Newborn affected by maternal complication of pregnancy, unspecified"
P020,Newborn affected by placenta previa
P021,Newborn affected by other forms of placental separation and hemorrhage
P022,Newborn affected by unspecified morphological and functional abnormalities of placenta
P023,Newborn affected by placental transfusion syndromes
P024,Newborn affected by prolapsed cord
P025,Newborn affected by other compression of umbilical cord
P026,Newborn affected by unspecified conditions of umbilical cord
P027,Newborn affected by fetal inflammatory response syndrome
P028,Newborn affected by other abnormalities of membranes
P029,"Newborn affected by abnormality of membranes, unspecified"
P030,Newborn affected by breech delivery and extraction
P031,"Newborn affected by other malpresentation, malposition and disproportion during labor and delivery"
P032,Newborn affected by forceps delivery
P033,Newborn affected by delivery by vacuum extractor [ventouse]
P034,Newborn affected by Cesarean delivery
P035,Newborn affected by precipitate delivery
P036,Newborn affected by abnormal uterine contractions
P038,Newborn affected by abnormality in fetal (intrauterine) heart rate or rhythm before the onset of labor
P039,"Newborn affected by complication of labor and delivery, unspecified"
P040,"Newborn affected by maternal anesthesia and analgesia in pregnancy, labor and delivery"
P041,Newborn affected by maternal antineoplastic chemotherapy
P042,Newborn affected by maternal use of tobacco
P043,Newborn affected by maternal use of alcohol
P044,Newborn affected by maternal use of unspecified drugs of addiction
P045,Newborn affected by maternal use of nutritional chemical substances
P046,Newborn affected by maternal exposure to environmental chemical substances
P048,Newborn affected by maternal use of cannabis
P049,"Newborn affected by maternal noxious substance, unspecified"
P050,"Newborn light for gestational age, unspecified weight"
P051,"Newborn small for gestational age, unspecified weight"
P052,Newborn affected by fetal (intrauterine) malnutrition not light or small for gestational age
P059,"Newborn affected by slow intrauterine growth, unspecified"
P070,"Extremely low birth weight newborn, unspecified weight"
P071,"Other low birth weight newborn, unspecified weight"
P072,"Extreme immaturity of newborn, unspecified weeks of gestation"
P073,"Preterm newborn, unspecified weeks of gestation"
P080,Exceptionally large newborn baby
P081,Other heavy for gestational age newborn
P082,Post-term newborn
P091,Abnormal findings on neonatal screening for inborn errors of metabolism
P092,Abnormal findings on neonatal screening for congenital endocrine disease
P093,Abnormal findings on neonatal screening for congenital hematologic disorders
P094,Abnormal findings on neonatal screening for cystic fibrosis
P095,Abnormal findings on neonatal screening for critical congenital heart disease
P096,Abnormal findings on neonatal screening for neonatal hearing loss
P098,Other abnormal findings on neonatal screening
P099,"Abnormal findings on neonatal screening, unspecified"
P100,Subdural hemorrhage due to birth injury
P101,Cerebral hemorrhage due to birth injury
P102,Intraventricular hemorrhage due to birth injury
P103,Subarachnoid hemorrhage due to birth injury
P104,Tentorial tear due to birth injury
P108,Other intracranial lacerations and hemorrhages due to birth injury
P109,Unspecified intracranial laceration and hemorrhage due to birth injury
P110,Cerebral edema due to birth injury
P111,Other specified brain damage due to birth injury
P112,Unspecified brain damage due to birth injury
P113,Birth injury to facial nerve
P114,Birth injury to other cranial nerves
P115,Birth injury to spine and spinal cord
P119,"Birth injury to central nervous system, unspecified"
P120,Cephalhematoma due to birth injury
P121,Chignon (from vacuum extraction) due to birth injury
P122,Epicranial subaponeurotic hemorrhage due to birth injury
P123,Bruising of scalp due to birth injury
P124,Injury of scalp of newborn due to monitoring equipment
P128,Caput succedaneum
P129,"Birth injury to scalp, unspecified"
P130,Fracture of skull due to birth injury
P131,Other birth injuries to skull
P132,Birth injury to femur
P133,Birth injury to other long bones
P134,Fracture of clavicle due to birth injury
P138,Birth injuries to other parts of skeleton
P139,"Birth injury to skeleton, unspecified"
P140,Erb's paralysis due to birth injury
P141,Klumpke's paralysis due to birth injury
P142,Phrenic nerve paralysis due to birth injury
P143,Other brachial plexus birth injuries
P148,Birth injuries to other parts of peripheral nervous system
P149,"Birth injury to peripheral nervous system, unspecified"
P150,Birth injury to liver
P151,Birth injury to spleen
P152,Sternomastoid injury due to birth injury
P153,Birth injury to eye
P154,Birth injury to face
P155,Birth injury to external genitalia
P156,Subcutaneous fat necrosis due to birth injury
P158,Other specified birth injuries
P159,"Birth injury, unspecified"
P190,Metabolic acidemia in newborn first noted before onset of labor
P191,Metabolic acidemia in newborn first noted during labor
P192,Metabolic acidemia noted at birth
P199,"Metabolic acidemia, unspecified"
P220,Respiratory distress syndrome of newborn
P221,Transient tachypnea of newborn
P228,Other respiratory distress of newborn
P229,"Respiratory distress of newborn, unspecified"
P230,Congenital pneumonia due to viral agent
P231,Congenital pneumonia due to Chlamydia
P232,Congenital pneumonia due to staphylococcus
P233,"Congenital pneumonia due to streptococcus, group B"
P234,Congenital pneumonia due to Escherichia coli
P235,Congenital pneumonia due to Pseudomonas
P236,Congenital pneumonia due to other bacterial agents
P238,Congenital pneumonia due to other organisms
P239,"Congenital pneumonia, unspecified"
P240,Meconium aspiration without respiratory symptoms
P241,Neonatal aspiration of (clear) amniotic fluid and mucus without respiratory symptoms
P242,Neonatal aspiration of blood without respiratory symptoms
